date,Voltage,Charge_Capacity,Current
06/22/2018 03:39:37.000,4.40004921,0.430802256,2.578859329
06/22/2018 03:41:37.000,4.400003433,0.509222388,2.149303436
06/22/2018 03:43:37.000,4.400006294,0.575402737,1.840069771
06/22/2018 03:45:37.000,4.399974823,0.632813096,1.613301277
06/22/2018 03:47:37.000,4.400034904,0.68355459,1.438095093
06/22/2018 03:49:37.000,4.400046349,0.729113638,1.300553322
06/22/2018 03:51:37.000,4.400020599,0.770612478,1.193386078
06/22/2018 03:53:37.000,4.400017738,0.808882713,1.10504055
06/22/2018 03:55:37.000,4.400027275,0.844405293,1.028374672
06/22/2018 03:57:37.000,4.400019646,0.87753135,0.960556984
06/22/2018 03:59:37.000,4.400029182,0.908504128,0.898792267
06/22/2018 04:01:37.000,4.400053978,0.937517643,0.842494965
06/22/2018 04:03:37.000,4.400012016,0.964750707,0.792010307
06/22/2018 04:05:37.000,4.400047302,0.990352213,0.744930267
06/22/2018 04:07:37.000,4.399991989,1.01446104,0.701916695
06/22/2018 04:09:37.000,4.400013924,1.037188053,0.661828995
06/22/2018 04:11:37.000,4.400012016,1.042852521,0.651975632
06/22/2018 04:13:37.000,4.268883705,1.042854786,0
06/22/2018 04:15:37.000,4.256162643,1.042854786,0
06/22/2018 04:17:37.000,4.252984047,1.042854786,0
06/22/2018 04:19:37.000,3.308609009,1.042854786,-6.519880295
06/22/2018 04:21:37.000,3.24227047,1.042854786,-6.519945621
06/22/2018 04:23:37.000,3.160208702,1.042854786,-6.519945621
06/22/2018 04:25:37.000,3.076140404,1.042854786,-6.519868374
06/22/2018 04:27:37.000,2.999992371,1.042854786,-6.519893646
06/22/2018 04:29:37.000,3.861564636,1.042854786,0
06/22/2018 04:31:37.000,3.880291939,1.042854786,0
06/22/2018 04:33:37.000,3.884405136,1.042854786,0
06/22/2018 04:35:37.000,4.200045586,0.010074265,3.259784698
06/22/2018 04:37:37.000,4.322301865,0.118487149,3.259918213
06/22/2018 04:39:37.000,4.360478401,0.227149472,3.259925842
06/22/2018 04:41:37.000,4.400020599,0.335093826,3.097192764
06/22/2018 04:43:37.000,4.400012016,0.42894429,2.554349899
06/22/2018 04:45:37.000,4.400024414,0.506851912,2.143672943
06/22/2018 04:47:37.000,4.400025368,0.573003769,1.843984604
06/22/2018 04:49:37.000,4.400006294,0.63067776,1.625455856
06/22/2018 04:51:37.000,4.399982452,0.681868255,1.45533371
06/22/2018 04:53:37.000,4.400045395,0.728106022,1.325510979
06/22/2018 04:55:37.000,4.400035858,0.770487607,1.220291138
06/22/2018 04:57:37.000,4.4000597,0.809576511,1.125462532
06/22/2018 04:59:37.000,4.400012016,0.845672786,1.041314125
06/22/2018 05:01:37.000,4.399991035,0.879144311,0.968560219
06/22/2018 05:03:37.000,4.399979591,0.910399258,0.908171654
06/22/2018 05:05:37.000,4.400040627,0.939767003,0.85458374
06/22/2018 05:07:37.000,4.400003433,0.96745193,0.806492805
06/22/2018 05:09:37.000,4.400032997,0.993577898,0.760777473
06/22/2018 05:11:37.000,4.400006294,1.018225551,0.717523575
06/22/2018 05:13:37.000,4.399983406,1.041457295,0.676895142
06/22/2018 05:15:37.000,4.400011063,1.054619908,0.651990891
06/22/2018 05:17:37.000,4.272806168,1.054621458,0
06/22/2018 05:19:37.000,4.260547638,1.054621458,0
06/22/2018 05:21:37.000,4.257499695,1.054621458,0
06/22/2018 05:23:37.000,3.327988625,1.054621458,-6.520170212
06/22/2018 05:25:37.000,3.256851196,1.054621458,-6.520143509
06/22/2018 05:27:37.000,3.173492432,1.054621458,-6.520172119
06/22/2018 05:29:37.000,3.089743614,1.054621458,-6.519995689
06/22/2018 05:31:37.000,2.999994278,1.054621458,-6.520120144
06/22/2018 05:33:37.000,3.857266426,1.054621458,0
06/22/2018 05:35:37.000,3.876495361,1.054621458,0
06/22/2018 05:37:37.000,3.880736351,1.054621458,0
06/22/2018 05:39:37.000,4.200124741,0.011752632,3.259822845
06/22/2018 05:41:37.000,4.320017815,0.120163985,3.259820938
06/22/2018 05:43:37.000,4.357771873,0.228832886,3.259881973
06/22/2018 05:45:37.000,4.399957657,0.337004751,3.125007629
06/22/2018 05:47:37.000,4.399964333,0.431771785,2.582351685
